Date,year,month,week,X24hAverage,Ask,Bid,Last,TotalVolume,numberOfTransactions,nTweets,nNewsReuters,nNewsCryptocoin,searchInterest,nTweetsTopUser
2015-12-13,2015,12,50,436.49,436.06,435.67,435.9,90007.78,186151,NA,0,0,20,NA
2015-12-12,2015,12,50,433.3,433.63,433.45,433.56,247017.35,211456,NA,0,0,20,NA
2015-12-11,2015,12,50,432.19,449.26,449.09,449.19,176205.29,211198,NA,1,1,20,NA
2015-12-10,2015,12,50,416.74,417.06,416.66,416.8,75158.13,211452,NA,1,0,20,NA
2015-12-09,2015,12,50,418.08,417.66,417.42,417.65,160383.94,222503,NA,6,1,20,NA
2015-12-08,2015,12,49,397.01,397.99,397.88,398.01,57932.28,192097,NA,1,0,26,NA
2015-12-07,2015,12,49,394.44,396.76,396.54,396.66,102519.55,185788,NA,4,1,26,NA
2015-12-06,2015,12,49,394.26,395.58,395.21,395.53,147247.78,179777,NA,0,0,26,NA
2015-12-05,2015,12,49,374.84,390.94,390.83,390.99,106868.51,200213,NA,0,0,26,NA
2015-12-04,2015,12,49,361.51,363.45,363.21,363.5,60262.34,160944,NA,2,1,26,NA
2015-12-03,2015,12,49,363.13,362.01,361.76,361.96,88810.64,170317,NA,0,0,26,NA
2015-12-02,2015,12,49,356.78,360.84,360.48,360.77,97504.92,177277,NA,2,2,26,NA
2015-12-01,2015,12,48,368.9,364.34,364.09,364.2,119992.39,184404,NA,2,0,17,NA
2015-11-30,2015,11,48,376.76,378.93,378.52,378.64,137466.11,172183,NA,2,1,17,NA
2015-11-29,2015,11,48,362.06,373.71,373.51,373.67,64868.59,130758,NA,0,0,17,NA
2015-11-28,2015,11,48,356.55,356.1,355.88,356.06,60678.44,171602,NA,0,2,17,NA
2015-11-27,2015,11,48,355.91,360.81,360.51,360.6,112829.07,156739,NA,0,1,17,NA
2015-11-26,2015,11,48,342.51,350.97,350.73,350.88,213702.58,164730,NA,0,0,17,NA
2015-11-25,2015,11,48,324.1,327.73,327.55,327.66,77479.39,152463,NA,0,4,17,NA
2015-11-24,2015,11,47,323.4,322.85,322.57,322.86,50632.91,150056,NA,1,0,17,NA
2015-11-23,2015,11,47,324.03,325.08,324.77,325.05,42018.91,142698,NA,1,1,17,NA
2015-11-22,2015,11,47,326.15,326.19,325.92,326.07,34520.8,126564,NA,0,0,17,NA
2015-11-21,2015,11,47,325.84,326.39,326.03,326.35,43575.19,158852,NA,0,0,17,NA
2015-11-20,2015,11,47,321.03,321.48,321.28,321.43,111710.95,155128,NA,1,0,17,NA
2015-11-19,2015,11,47,333.01,327.9,327.66,327.81,84955.2,154561,NA,3,1,17,NA
2015-11-18,2015,11,47,335.41,337.74,337.2,337.58,75796.73,168587,NA,1,0,17,NA
2015-11-17,2015,11,46,335.68,338.26,338.14,338.43,97693.91,158254,NA,2,1,17,NA
2015-11-16,2015,11,46,322.37,330.45,330.18,330.36,88806.55,150942,NA,0,1,17,NA
2015-11-15,2015,11,46,329.85,320.33,319.53,320.2,105658.42,138467,NA,0,0,17,NA
2015-11-14,2015,11,46,335.32,339.89,338.87,339.2,71522.2,156065,NA,1,0,17,NA
2015-11-13,2015,11,46,334.66,340.65,340.07,340.19,107328.71,156988,NA,2,0,17,NA
2015-11-12,2015,11,46,326.91,333.69,333.14,333.84,171616.82,154219,NA,4,0,17,NA
2015-11-11,2015,11,46,317.9,308.04,307.62,307.82,290096.78,171159,NA,0,0,17,NA
2015-11-10,2015,11,45,368.56,333.59,333.09,333.31,212299.48,154030,NA,3,1,20,NA
2015-11-09,2015,11,45,375.3,382.45,382.07,382.32,130610.11,152795,NA,3,1,20,NA
2015-11-08,2015,11,45,383.98,374.37,374.17,374.33,90243.26,134785,NA,0,0,20,NA
2015-11-07,2015,11,45,383.57,388.12,387.89,388.04,107926.25,161595,NA,0,0,20,NA
2015-11-06,2015,11,45,373.24,374.85,373.99,374.15,281158.05,165214,NA,0,0,20,NA
2015-11-05,2015,11,45,401.39,390.98,390.04,390.85,360109.42,189326,NA,3,0,20,NA
2015-11-04,2015,11,45,446.72,394.08,391.57,393.34,537468.37,211121,NA,3,3,20,NA
2015-11-03,2015,11,44,381.53,401.23,400.89,400.82,449677.57,178027,NA,3,0,27,NA
2015-11-02,2015,11,44,334.38,361.91,361.6,361.72,210271.42,159656,NA,0,1,27,NA
2015-11-01,2015,11,44,317.89,325.38,325.18,325.32,80664.78,156648,NA,0,0,27,NA
