Date,nNewsReuters
2015-10-22,3
2016-06-09,1
2016-02-18,2
2014-07-02,5
2014-02-12,3
2016-07-05,1
2015-04-29,2
2015-09-15,1
2015-01-21,2
2015-07-27,2
2015-06-11,1
2014-03-09,1
2014-03-21,4
2016-07-12,8
2015-05-18,1
2016-05-11,1
2014-04-03,1
2014-11-26,2
2016-03-31,1
2016-01-18,1
2016-05-19,3
2016-02-19,2
2016-01-20,4
2014-10-29,1
2014-03-20,3
